shosi_id,kokkai_link,opac_link
'000004356337',http://iss.ndl.go.jp/books/R100000002-I000004356337-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+000004356337&adjacent=N&x=0&y=0&con_lng=jpn
'026370704',http://iss.ndl.go.jp/books/R100000002-I026370704-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370704&adjacent=N&x=0&y=0&con_lng=jpn
'026370601',http://iss.ndl.go.jp/books/R100000002-I026370601-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370601&adjacent=N&x=0&y=0&con_lng=jpn
'026370520',http://iss.ndl.go.jp/books/R100000002-I026370520-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370520&adjacent=N&x=0&y=0&con_lng=jpn
'026370613',http://iss.ndl.go.jp/books/R100000002-I026370613-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370613&adjacent=N&x=0&y=0&con_lng=jpn
'026370522',http://iss.ndl.go.jp/books/R100000002-I026370522-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370522&adjacent=N&x=0&y=0&con_lng=jpn
'026370523',http://iss.ndl.go.jp/books/R100000002-I026370523-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370523&adjacent=N&x=0&y=0&con_lng=jpn
'026370534',http://iss.ndl.go.jp/books/R100000002-I026370534-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370534&adjacent=N&x=0&y=0&con_lng=jpn
'026370548',http://iss.ndl.go.jp/books/R100000002-I026370548-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370548&adjacent=N&x=0&y=0&con_lng=jpn
'026370570',http://iss.ndl.go.jp/books/R100000002-I026370570-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370570&adjacent=N&x=0&y=0&con_lng=jpn
'026370562',http://iss.ndl.go.jp/books/R100000002-I026370562-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370562&adjacent=N&x=0&y=0&con_lng=jpn
'026370536',http://iss.ndl.go.jp/books/R100000002-I026370536-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370536&adjacent=N&x=0&y=0&con_lng=jpn
'026370602',http://iss.ndl.go.jp/books/R100000002-I026370602-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370602&adjacent=N&x=0&y=0&con_lng=jpn
'026370564',http://iss.ndl.go.jp/books/R100000002-I026370564-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370564&adjacent=N&x=0&y=0&con_lng=jpn
'026370565',http://iss.ndl.go.jp/books/R100000002-I026370565-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370565&adjacent=N&x=0&y=0&con_lng=jpn
'026370557',http://iss.ndl.go.jp/books/R100000002-I026370557-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370557&adjacent=N&x=0&y=0&con_lng=jpn
'026370514',http://iss.ndl.go.jp/books/R100000002-I026370514-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370514&adjacent=N&x=0&y=0&con_lng=jpn
'026370592',http://iss.ndl.go.jp/books/R100000002-I026370592-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370592&adjacent=N&x=0&y=0&con_lng=jpn
'026370675',http://iss.ndl.go.jp/books/R100000002-I026370675-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370675&adjacent=N&x=0&y=0&con_lng=jpn
'026370669',http://iss.ndl.go.jp/books/R100000002-I026370669-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370669&adjacent=N&x=0&y=0&con_lng=jpn
'026370542',http://iss.ndl.go.jp/books/R100000002-I026370542-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370542&adjacent=N&x=0&y=0&con_lng=jpn
'026370670',http://iss.ndl.go.jp/books/R100000002-I026370670-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370670&adjacent=N&x=0&y=0&con_lng=jpn
'026370612',http://iss.ndl.go.jp/books/R100000002-I026370612-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370612&adjacent=N&x=0&y=0&con_lng=jpn
'026370556',http://iss.ndl.go.jp/books/R100000002-I026370556-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370556&adjacent=N&x=0&y=0&con_lng=jpn
'026370580',http://iss.ndl.go.jp/books/R100000002-I026370580-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370580&adjacent=N&x=0&y=0&con_lng=jpn
'026370559',http://iss.ndl.go.jp/books/R100000002-I026370559-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370559&adjacent=N&x=0&y=0&con_lng=jpn
'026370538',http://iss.ndl.go.jp/books/R100000002-I026370538-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370538&adjacent=N&x=0&y=0&con_lng=jpn
'026370628',http://iss.ndl.go.jp/books/R100000002-I026370628-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370628&adjacent=N&x=0&y=0&con_lng=jpn
'026370521',http://iss.ndl.go.jp/books/R100000002-I026370521-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370521&adjacent=N&x=0&y=0&con_lng=jpn
'026370551',http://iss.ndl.go.jp/books/R100000002-I026370551-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370551&adjacent=N&x=0&y=0&con_lng=jpn
'026370516',http://iss.ndl.go.jp/books/R100000002-I026370516-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370516&adjacent=N&x=0&y=0&con_lng=jpn
'026370598',http://iss.ndl.go.jp/books/R100000002-I026370598-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370598&adjacent=N&x=0&y=0&con_lng=jpn
'026370588',http://iss.ndl.go.jp/books/R100000002-I026370588-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370588&adjacent=N&x=0&y=0&con_lng=jpn
'023405956',http://iss.ndl.go.jp/books/R100000002-I023405956-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+023405956&adjacent=N&x=0&y=0&con_lng=jpn
'026370577',http://iss.ndl.go.jp/books/R100000002-I026370577-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370577&adjacent=N&x=0&y=0&con_lng=jpn
'026370561',http://iss.ndl.go.jp/books/R100000002-I026370561-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370561&adjacent=N&x=0&y=0&con_lng=jpn
'026370524',http://iss.ndl.go.jp/books/R100000002-I026370524-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370524&adjacent=N&x=0&y=0&con_lng=jpn
'026370604',http://iss.ndl.go.jp/books/R100000002-I026370604-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370604&adjacent=N&x=0&y=0&con_lng=jpn
